code,region,Deathpenalty,Year,Latitude,Longitude
AL,alabama,Yes,,"32.634916","-86.841603"
AZ,arizona,Moratorium,,"33.92684","-111.753064"
AR,arkansas,Yes,,"34.615071","-92.430942"
CA,california,Moratorium,,"36.746029","-120.300911"
FL,florida,Yes,,"27.572114","-81.367288"
GA,georgia,Yes,,"31.655636","-82.68279"
ID,idaho,Yes,,"43.791951","-114.288027"
IN,indiana,Yes,,"40.35056","-86.137956"
KS,kansas,Yes,,"38.339292","-98.390492"
KY,kentucky,Yes,,"37.566837","-85.355083"
LA,louisiana,Yes,,"30.205177","-91.96691"
MS,mississippi,Yes,,"32.762351","-89.749708"
MO,missouri,Yes,,"38.455946","-92.617134"
MT,montana,Yes,,"46.723602","-109.023843"
NE,nebraska,Yes,,"41.888649","-100.201831"
NV,nevada,Yes,,"39.323849","-116.798728"
NC,north carolina,Yes,,"35.593162","-77.815023"
OH,ohio,Moratorium,,"40.199232","-82.706758"
OK,oklahoma,Yes,,"35.24445","-97.282332"
OR,oregon,Moratorium,,"43.917658","-120.686145"
PA,pennsylvania,Moratorium,,"40.922962","-77.716647"
SC,south carolina,Yes,,"33.723976","-80.711884"
SD,south dakota,Yes,,"44.347334","-100.020322"
TN,tennessee,Yes,,"35.857117","-86.459212"
TX,texas,Yes,,"30.853269","-98.802215"
UT,utah,Yes,,"39.464583","-111.695899"
WY,wyoming,Yes,,"42.913640","-107.535427"
AK,alaska,No,1957,"65.697199","-150.583839"
CO,colorado,No,2020,"38.899807","-105.324593"
CT,connecticut,No,2012,"41.049437","-73.472176"
DE,delaware,No,2016,"38.530278","-75.118556"
HI,hawaii,No,1957,"19.603951","-155.467605"
IL,illinois,No,2011,"39.75451","-89.151355"
IA,iowa,No,1965,"42.161019","-93.5477"
ME,maine,No,1887,"46.309607","-68.975848"
MD,maryland,No,2013,"39.389106","-76.681127"
MA,massachusetts,No,1984,"42.391473","-71.997711"
MI,michigan,No,1847,"44.181735","-84.800704"
MN,minnesota,No,1911,"46.682989","-94.538298"
NH,new hampshire,No,2019,"43.558425","-71.350266"
NJ,new jersey,No,2007,"40.202761","-74.15736"
NM,new mexico,No,2009,"34.452092","-106.024335"
NY,new york,No,2007,"43.488032","-75.512344"
NC,north dakota,No,1973,"47.266313","-100.360119"
RI,rhode island,No,1984,"41.72637","-71.586078"
VT,vermont,No,1972,"44.69401","-72.447007"
VA,virginia,No,2021,"37.644063","-78.436694"
WA,washington,No,2018,"47.4510944","-119.952183"
WV,west virginia,No,1965,"38.710614","-80.856672"
WI,wisconsin,No,1853,"44.465889","-90.066215"
